epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2444,0.2194,,1.7107193552929423,1.6630938001300977
1,0.2872,0.3778,,1.649834265916244,1.7440630715826284
2,0.3338,0.3472,,1.6126497932102368,1.483621182649032
3,0.3864,0.3833,,1.4964104735332986,1.5527629074843035
4,0.4074,0.475,,1.4851495556209398,1.2315455649210059
5,0.4297,0.5083,,1.420107889175415,1.3247757061668064
6,0.4654,0.5111,,1.3782492679098377,1.2834853504015051
7,0.4722,0.5583,,1.3181298043416894,1.1082506231639697
8,0.4719,0.4778,,1.3096412855645885,1.3413237229637478
9,0.4946,0.5972,,1.2979038653166397,1.2201984006425608
10,0.5147,0.5722,,1.2308526018391486,1.2674413141996965
11,0.5327,0.6056,,1.1951091947762862,1.0146774312724238
12,0.5199,0.6056,,1.2775283378103506,1.0175815043242082
13,0.5324,0.5861,,1.2690053519995317,1.168277136657549
14,0.5362,0.6139,,1.1997846028079158,0.9783613318982332
15,0.5455,0.6,,1.1647549670675525,0.9825046839921371
16,0.5733,0.6194,,1.1120748976002568,1.0786275552666706
17,0.5572,0.6056,,1.1513399943061497,1.0053653522678043
18,0.5785,0.6306,,1.1278808422710584,0.9838326288306195
19,0.5752,0.6528,,1.1066733489865843,0.9269017706746641
20,0.5834,0.65,,1.083192281101061,0.916542789210444
21,0.5839,0.6556,,1.0787123063336248,0.9038763033307117
22,0.5899,0.675,,1.0729996173278145,0.833559715229532
23,0.5894,0.6389,,1.0781976580619812,1.0034620878489122
24,0.6082,0.6639,,1.0298156225163004,0.9063126600306967
25,0.6027,0.6833,,1.0140155128810717,0.837228677842928
26,0.6076,0.7083,,1.0008340840754302,0.792916811030844
27,0.6185,0.7139,,1.0040643785310828,0.7562342843283778
28,0.6272,0.6667,,0.9784420329591502,0.916804780130801
29,0.6136,0.7139,,0.9791037357371787,0.7641691649737565
30,0.6292,0.6833,,0.9743553560713063,0.8220364270002946
31,0.6063,0.7,,1.0136804513309312,0.7899727328963901
32,0.6322,0.6861,,0.9485482521679091,0.8511163125867429
33,0.6425,0.6861,,0.9552821501441624,0.930854188359302
34,0.6259,0.7083,,0.9821611171183379,0.796269135630649
35,0.6319,0.6944,,0.9537512913994167,0.8526845665081687
36,0.6371,0.6639,,0.9326648499654687,0.8732665971569393
37,0.6431,0.6972,,0.9405658348746921,0.7527603649574778
38,0.6474,0.6667,,0.9210007449854976,1.3748335954935655
39,0.649,0.6972,,0.918705729816271,0.7449672507203143
40,0.6376,0.6833,,0.9389239005420519,0.7829795583434727
41,0.652,0.6778,,0.9023829545663751,0.8156534860963407
42,0.6469,0.7083,,0.9260073936503866,0.7591125991033472
43,0.6594,0.7278,,0.8898041595583377,0.7222343385219574
44,0.6499,0.7139,,0.9047948166080143,0.7512066299500673
45,0.6594,0.7222,,0.8815119069555531,0.7369688094958015
46,0.652,0.7389,,0.8855417567750682,0.7574040747207144
47,0.6428,0.725,,0.904452019152434,0.734313147223514
48,0.6831,0.7167,,0.8375833617604297,0.7356117562107418
49,0.6575,0.7167,,0.8684532010036966,0.8212955788425778
