epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2698,0.3917,,1.649755653091099,1.411633206450421
1,0.3526,0.3917,,1.4511957759442538,1.394812205563421
2,0.3766,0.3833,,1.390330233781234,1.3574507547461467
3,0.3926,0.3944,,1.346641301072162,1.2763210820115132
4,0.3978,0.4056,,1.3305580398310786,1.2615394514539968
5,0.4071,0.4528,,1.3014558382656263,1.2345876097679138
6,0.4572,0.5083,,1.237781696734221,1.1470782523569854
7,0.4526,0.4833,,1.2399691877157792,1.171293582605279
8,0.4785,0.5167,,1.2250916745351708,1.1149044658826746
9,0.4837,0.4694,,1.2214644882989967,1.1148217450017515
10,0.5183,0.5361,,1.18843100744745,1.1747955964959187
11,0.5243,0.5361,,1.1603566097176594,1.063705042652462
12,0.5172,0.5556,,1.1671589955039647,1.0805498931718909
13,0.5619,0.5556,,1.120716915441596,1.0612385946771372
14,0.548,0.5611,,1.141501438099405,1.0771568806275078
15,0.5766,0.6111,,1.0977704239928203,0.9630665649538455
16,0.5608,0.6083,,1.1241587566292803,1.034426344477612
17,0.5883,0.5806,,1.0813705019328905,1.0002900413844897
18,0.5823,0.6028,,1.0883073018944782,1.0559166721675708
19,0.5883,0.5889,,1.0997401097546453,0.9912031888961792
20,0.579,0.5944,,1.0884549405263817,0.9796243607997894
21,0.6038,0.6,,1.0358100092929343,1.0159598614858545
22,0.5883,0.5944,,1.0657958409060602,1.0572061175885408
23,0.6038,0.6222,,1.0485776009766952,0.8936440789181254
24,0.6046,0.6139,,1.0421818173449973,0.9710661432017451
